date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,14,1,0.0,8.7,3,3,100,07:16 PM,08:50 AM,08:00 AM,05:51 PM,-2,5,7,5,13,27,57,0.0,1025,14,10,188,7
2010-01-02,17,4,0.0,8.7,3,3,85,08:30 PM,09:34 AM,08:01 AM,05:52 PM,1,7,8,7,13,6,62,0.0,1022,17,10,169,7
2010-01-03,15,3,0.0,8.7,3,3,77,09:43 PM,10:10 AM,08:01 AM,05:53 PM,-4,6,8,6,15,30,47,0.0,1021,15,10,51,8
2010-01-04,15,3,0.0,8.7,3,3,70,10:53 PM,10:44 AM,08:01 AM,05:54 PM,-4,7,8,7,15,14,46,0.0,1021,15,10,90,9
2010-01-05,17,3,0.0,8.7,3,3,63,No moonrise,11:15 AM,08:01 AM,05:54 PM,-4,7,8,7,11,5,44,0.0,1020,17,10,161,6
2010-01-06,19,6,0.0,8.7,3,3,56,12:00 AM,11:45 AM,08:01 AM,05:55 PM,-5,9,10,9,12,14,37,0.0,1018,19,10,159,6
2010-01-07,18,6,0.0,8.7,4,4,48,01:06 AM,12:16 PM,08:01 AM,05:56 PM,-1,9,10,9,13,9,49,0.0,1017,18,10,121,7
2010-01-08,14,5,0.0,8.7,3,3,41,02:11 AM,12:50 PM,08:01 AM,05:57 PM,1,8,9,8,14,8,60,0.0,1021,14,10,61,9
2010-01-09,16,3,0.0,8.7,3,3,34,03:15 AM,01:28 PM,08:01 AM,05:58 PM,-2,8,9,8,10,17,50,0.0,1022,16,10,124,6
2010-01-10,18,5,0.0,8.7,4,4,27,04:16 AM,02:10 PM,08:01 AM,05:59 PM,0,10,11,10,13,4,53,0.0,1021,18,10,166,8
2010-01-11,17,6,0.0,10.0,4,4,19,05:15 AM,02:57 PM,08:01 AM,06:00 PM,0,9,10,9,14,12,53,0.0,1022,17,10,57,8
2010-01-12,19,5,0.0,10.0,4,4,12,06:09 AM,03:50 PM,08:00 AM,06:01 PM,-1,10,11,10,11,7,51,0.0,1020,19,10,174,6
2010-01-13,12,5,0.0,10.0,3,3,5,06:57 AM,04:45 PM,08:00 AM,06:02 PM,0,5,8,5,22,22,61,0.0,1020,12,10,271,16
2010-01-14,14,3,0.0,10.0,3,3,0,07:39 AM,05:43 PM,08:00 AM,06:02 PM,-4,6,8,6,16,4,51,0.0,1024,14,10,161,9
2010-01-15,15,2,0.0,10.0,3,3,0,08:15 AM,06:41 PM,08:00 AM,06:03 PM,-5,6,7,6,10,27,43,0.0,1022,15,10,67,6
2010-01-16,17,5,0.0,10.0,3,3,2,08:46 AM,07:39 PM,08:00 AM,06:04 PM,-6,8,9,8,10,27,37,0.0,1015,17,10,169,6
2010-01-17,13,3,0.0,10.5,3,3,10,09:15 AM,08:34 PM,07:59 AM,06:05 PM,-1,5,7,5,15,23,61,2.8,1013,13,10,259,10
2010-01-18,9,5,0.0,6.8,2,2,17,09:41 AM,09:31 PM,07:59 AM,06:06 PM,6,5,7,5,16,80,92,4.5,1008,9,7,197,10
2010-01-19,5,3,0.0,8.4,1,1,24,10:05 AM,10:26 PM,07:59 AM,06:07 PM,2,1,4,1,17,64,91,2.8,1006,5,7,215,11
2010-01-20,6,3,0.0,6.8,1,1,31,10:30 AM,11:23 PM,07:58 AM,06:08 PM,3,1,4,1,18,72,92,3.0,1002,6,8,203,12
2010-01-21,4,0,0.0,5.3,1,1,39,10:57 AM,No moonset,07:58 AM,06:09 PM,2,-1,3,-1,22,86,95,4.2,990,4,7,170,14
2010-01-22,5,1,0.0,8.4,2,2,46,11:26 AM,12:21 AM,07:57 AM,06:10 PM,1,-1,3,-1,21,58,87,0.1,998,5,10,244,15
2010-01-23,6,-1,0.0,10.5,2,2,53,11:59 AM,01:22 AM,07:57 AM,06:11 PM,-1,-1,2,-1,14,11,83,0.0,1015,6,10,274,9
2010-01-24,10,-1,0.0,10.6,2,2,60,12:39 PM,02:26 AM,07:56 AM,06:12 PM,-2,2,4,2,9,13,70,0.0,1021,10,10,218,5
2010-01-25,10,1,0.0,10.6,2,2,68,01:27 PM,03:32 AM,07:56 AM,06:13 PM,1,4,5,4,10,41,77,0.0,1017,10,10,141,6
2010-01-26,10,1,0.0,10.0,3,3,75,02:24 PM,04:37 AM,07:55 AM,06:14 PM,2,4,5,4,11,35,82,0.7,1013,10,9,155,7
2010-01-27,10,2,0.0,10.6,3,3,82,03:32 PM,05:39 AM,07:55 AM,06:15 PM,3,4,6,4,12,26,83,0.2,1014,10,6,203,7
2010-01-28,11,0,0.0,10.6,3,3,90,04:45 PM,06:34 AM,07:54 AM,06:16 PM,-0,4,5,4,12,20,70,0.0,1018,11,10,138,7
2010-01-29,12,1,0.0,10.0,3,3,97,06:02 PM,07:22 AM,07:53 AM,06:17 PM,-0,5,6,5,8,30,68,0.0,1017,12,10,141,5
2010-01-30,12,1,0.0,10.7,3,3,100,07:17 PM,08:03 AM,07:53 AM,06:18 PM,1,4,5,4,14,8,75,0.0,1015,12,10,290,8
2010-01-31,12,1,0.0,10.7,3,3,100,08:30 PM,08:39 AM,07:52 AM,06:19 PM,1,4,5,4,11,11,74,0.0,1015,12,10,161,6
2010-02-01,12,1,0.0,10.0,3,3,77,09:42 PM,09:12 AM,07:51 AM,06:20 PM,1,5,6,5,9,37,74,0.0,1014,12,9,75,5
2010-02-02,11,3,0.0,10.7,3,3,69,10:51 PM,09:44 AM,07:50 AM,06:21 PM,0,5,6,5,11,22,66,0.0,1010,11,10,48,7
2010-02-03,13,1,0.0,10.7,3,3,62,11:59 PM,10:16 AM,07:50 AM,06:22 PM,-1,5,7,5,16,8,59,0.0,1009,13,10,308,9
2010-02-04,12,2,0.0,10.7,3,3,54,No moonrise,10:50 AM,07:49 AM,06:23 PM,0,5,7,5,17,29,66,0.0,1012,12,10,250,11
2010-02-05,11,5,0.0,10.0,3,3,47,01:05 AM,11:27 AM,07:48 AM,06:24 PM,4,5,7,5,14,55,84,1.4,1015,11,9,189,10
2010-02-06,9,5,0.0,6.9,2,2,39,02:09 AM,12:08 PM,07:47 AM,06:25 PM,5,5,7,5,14,78,90,7.3,1012,9,9,207,10
2010-02-07,8,2,0.0,10.8,2,2,32,03:10 AM,12:55 PM,07:46 AM,06:26 PM,1,1,4,1,21,29,83,0.3,1012,8,9,279,14
