date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01,18,6,0.0,8.7,4,4,97,05:52 PM,07:22 AM,08:00 AM,05:51 PM,-9,11,11,11,10,5,25,0.0,1021,18,10,49,6
2018-01-02,19,9,0.0,8.7,4,4,100,06:58 PM,08:25 AM,08:01 AM,05:52 PM,-6,12,13,12,15,14,26,0.0,1022,19,10,34,9
2018-01-03,17,9,0.0,8.7,4,4,89,08:07 PM,09:22 AM,08:01 AM,05:53 PM,-6,11,12,11,16,23,29,0.0,1019,17,10,70,9
2018-01-04,20,7,0.0,8.7,4,4,81,09:16 PM,10:11 AM,08:01 AM,05:54 PM,0,13,13,13,16,15,45,0.0,1020,20,10,244,10
2018-01-05,19,9,0.0,7.0,4,4,74,10:23 PM,10:55 AM,08:01 AM,05:54 PM,5,13,14,13,14,22,60,0.0,1022,19,10,246,8
2018-01-06,19,11,0.0,8.7,4,4,67,11:27 PM,11:34 AM,08:01 AM,05:55 PM,6,13,14,13,23,25,61,0.0,1019,19,10,260,15
2018-01-07,15,7,0.0,8.7,4,4,59,No moonrise,12:08 PM,08:01 AM,05:56 PM,5,11,11,11,12,11,66,0.0,1019,15,10,100,8
2018-01-08,12,8,0.0,3.6,2,2,52,12:27 AM,12:41 PM,08:01 AM,05:57 PM,5,8,10,8,17,92,69,0.8,1014,12,10,49,12
2018-01-09,10,8,0.0,7.0,3,3,45,01:27 AM,01:14 PM,08:01 AM,05:58 PM,4,7,9,7,24,58,71,3.2,1007,10,10,173,17
2018-01-10,13,7,0.0,8.7,3,3,38,02:23 AM,01:47 PM,08:01 AM,05:59 PM,4,7,9,7,23,3,70,0.0,1017,13,10,271,16
2018-01-11,16,5,0.0,10.0,3,3,30,03:20 AM,02:21 PM,08:01 AM,06:00 PM,3,10,10,10,9,9,62,0.0,1024,16,10,198,5
2018-01-12,16,7,0.0,10.0,4,4,23,04:14 AM,02:59 PM,08:00 AM,06:01 PM,3,11,12,11,14,0,57,0.0,1024,16,10,175,8
2018-01-13,17,9,0.0,10.0,4,4,16,05:09 AM,03:39 PM,08:00 AM,06:02 PM,-1,12,13,12,15,23,39,0.0,1024,17,10,46,9
2018-01-14,17,9,0.0,10.0,4,4,9,06:01 AM,04:22 PM,08:00 AM,06:02 PM,-1,12,13,12,14,37,38,0.0,1022,17,10,76,8
2018-01-15,18,8,0.0,10.0,4,4,1,06:50 AM,05:10 PM,08:00 AM,06:03 PM,-1,13,13,13,7,29,38,0.0,1020,18,10,178,4
2018-01-16,18,11,0.0,10.5,4,4,0,07:37 AM,06:01 PM,07:59 AM,06:04 PM,-1,13,14,13,10,20,36,0.0,1021,18,10,225,6
