,Precipitation(MM),Humidity,Temperature,Wind Speed,Wind Gust,Cloud Cover,Date
42,0.0,42,94,4,7,1,2018-05-29
43,0.0,62,84,5,7,3,2018-05-29
44,0.0,47,76,9,13,22,2018-05-30
45,0.0,48,83,4,5,0,2018-06-01
46,0.0,42,83,5,7,1,2018-06-01
47,0.0,43,83,4,6,2,2018-06-01
48,0.0,37,95,4,5,1,2018-06-02
49,0.0,69,71,4,5,0,2018-06-02
50,0.0,62,80,4,5,1,2018-06-02
51,0.0,33,92,4,7,0,2018-06-02
52,0.0,28,97,5,8,5,2018-06-03
53,0.0,60,87,5,6,0,2018-06-03
54,0.0,53,87,4,5,0,2018-06-03
55,0.0,45,93,3,5,0,2018-06-03
56,0.0,53,85,4,5,0,2018-06-03
57,0.0,45,83,5,7,5,2018-06-03
58,0.0,68,77,5,5,0,2018-06-03
59,0.0,62,80,4,5,0,2018-06-03
60,0.0,40,89,7,11,16,2018-06-04
61,0.0,58,71,5,7,5,2018-06-04
62,0.0,37,85,7,11,0,2018-06-04
63,0.0,37,85,7,11,0,2018-06-04
64,0.0,31,89,4,7,0,2018-06-04
65,0.0,46,80,7,10,0,2018-06-04
66,0.0,68,75,5,7,1,2018-06-05
67,0.0,72,74,5,7,10,2018-06-05
68,0.0,47,80,6,9,3,2018-06-06
69,0.0,42,86,5,7,0,2018-06-11
70,0.0,52,82,8,13,5,2018-06-07
71,1.4,45,73,6,8,13,2018-06-09
72,0.0,41,75,6,9,14,2018-06-09
73,0.0,73,63,11,17,40,2018-06-09
74,0.0,73,63,11,17,40,2018-06-09
75,0.0,49,75,9,14,15,2018-06-09
76,0.0,37,91,5,7,0,2018-06-12
77,0.0,44,87,5,7,0,2018-06-13
78,0.0,57,80,5,6,0,2018-06-11
79,0.0,42,91,5,6,0,2018-06-12
80,0.0,60,81,5,6,0,2018-06-12
81,0.0,33,94,3,5,1,2018-06-13
82,0.0,35,87,6,8,6,2018-06-14
83,0.0,33,91,4,7,3,2018-06-14
84,0.0,52,81,5,7,0,2018-06-14
85,0.0,43,79,6,9,4,2018-06-14
86,0.0,38,91,5,8,0,2018-06-15
87,0.0,35,92,6,10,1,2018-06-15
88,0.0,30,80,4,7,1,2018-06-15
89,0.1,51,82,5,8,2,2018-06-16
90,0.0,60,82,5,7,4,2018-06-16
91,0.0,67,74,10,12,4,2018-06-16
92,0.0,58,74,3,4,6,2018-06-17
93,0.1,42,64,11,13,16,2018-06-17
94,0.0,61,76,5,7,14,2018-06-17
95,0.0,60,76,5,7,8,2018-06-17
96,0.0,47,76,5,8,3,2018-06-18
97,0.0,62,81,5,6,4,2018-06-19
98,0.0,51,86,3,4,3,2018-06-19
99,0.0,42,90,5,7,0,2018-06-20
100,0.0,62,80,5,7,0,2018-06-21
101,0.0,27,98,7,11,0,2018-06-23
102,0.0,26,98,8,12,0,2018-06-23
103,0.0,24,99,9,13,0,2018-06-23
104,0.0,24,99,9,13,0,2018-06-23
105,0.0,25,99,4,6,0,2018-06-23
106,0.0,40,86,4,5,0,2018-06-23
107,0.0,45,85,6,8,0,2018-07-04
108,0.0,36,84,4,6,0,2018-06-29
109,0.0,25,104,5,8,0,2018-06-24
110,0.0,33,91,4,7,0,2018-06-24
111,0.0,35,94,5,7,0,2018-06-24
112,0.0,40,94,6,10,0,2018-06-24
113,0.0,61,80,3,4,2,2018-07-05
114,0.0,43,93,5,7,0,2018-06-29
115,0.0,27,96,10,15,1,2018-06-29
116,0.0,63,76,5,8,9,2018-06-28
117,0.0,57,83,4,6,0,2018-06-26
118,0.0,35,71,2,4,0,2018-06-11
119,0.0,36,90,3,5,0,2018-06-27
120,0.0,36,93,4,7,0,2018-06-26
121,0.0,77,69,5,6,2,2018-06-26
122,0.0,27,84,7,10,1,2018-06-27
123,0.0,49,82,4,6,3,2018-06-27
124,0.0,44,86,7,11,0,2018-07-04
125,0.0,37,94,4,4,0,2018-06-29
126,0.0,49,88,6,7,1,2018-06-29
127,0.0,47,87,6,7,0,2018-06-29
128,0.0,42,87,4,5,0,2018-06-30
129,0.0,20,105,11,17,0,2018-06-30
130,0.0,44,87,5,7,0,2018-07-04
131,0.0,24,104,3,5,3,2018-07-14
132,0.0,24,93,4,7,4,2018-07-10
133,0.0,41,91,4,6,0,2018-07-01
134,0.0,27,100,3,5,20,2018-07-06
135,0.0,70,78,6,7,8,2018-07-02
136,0.0,23,103,6,9,15,2018-07-06
137,0.0,51,83,6,7,0,2018-07-04
138,0.0,35,80,6,9,2,2018-07-05
139,0.0,28,94,4,6,21,2018-07-06
140,0.0,13,102,5,7,15,2018-07-06
141,0.0,34,90,4,7,21,2018-07-13
142,0.0,24,103,9,16,0,2018-07-06
143,0.0,39,94,3,5,18,2018-07-06
144,0.0,22,100,4,8,1,2018-07-12
145,0.0,42,94,6,6,7,2018-07-13
146,0.0,49,77,4,6,24,2018-07-13
147,2.5,29,94,5,8,6,2018-07-08
148,0.0,25,96,4,6,0,2018-07-10
149,0.0,44,88,5,6,0,2018-07-10
150,0.0,42,90,5,6,0,2018-07-10
151,0.0,37,89,4,7,16,2018-07-14
152,0.0,54,92,4,6,1,2018-07-11
153,0.9,22,92,5,7,6,2018-07-08
154,0.0,23,93,4,6,30,2018-07-08
155,0.0,35,90,6,7,1,2018-07-08
156,0.0,27,95,6,9,1,2018-07-08
157,0.0,28,80,7,12,0,2018-07-09
158,0.0,12,108,4,5,10,2018-07-06
159,0.0,24,90,5,7,4,2018-07-09
160,0.0,31,95,6,9,0,2018-07-09
161,0.0,22,96,3,4,0,2018-07-09
162,1.0,43,97,6,10,16,2018-07-12
163,0.0,38,91,3,5,8,2018-07-14
164,0.1,36,96,2,3,4,2018-07-15
165,1.0,42,86,3,5,3,2018-07-15
166,0.1,56,93,4,5,5,2018-07-15
167,0.2,39,86,5,8,4,2018-07-15
168,0.3,36,94,4,5,3,2018-07-15
169,0.0,32,102,4,5,4,2018-07-15
170,0.0,45,87,3,5,0,2018-08-16
171,0.0,60,88,4,6,0,2018-07-17
172,4.8,77,78,5,6,36,2018-07-17
173,0.0,39,95,3,4,2,2018-07-17
174,3.2,78,77,3,5,16,2018-07-18
175,0.0,45,104,5,7,8,2018-07-18
176,0.0,33,101,4,7,16,2018-07-19
177,0.3,31,92,4,6,7,2018-07-19
178,0.0,67,81,5,6,7,2018-07-20
179,1.5,63,89,6,7,5,2018-07-19
180,0.0,27,96,5,7,4,2018-07-20
181,0.0,78,77,4,6,15,2018-07-20
182,0.1,52,93,4,6,8,2018-07-21
183,0.1,69,82,4,6,9,2018-07-21
184,0.5,66,83,5,6,8,2018-07-21
185,0.8,59,87,5,5,6,2018-07-22
186,3.1,63,84,3,4,9,2018-07-21
187,0.6,39,100,4,6,4,2018-07-19
188,0.0,45,99,4,6,4,2018-07-23
189,0.0,39,98,5,8,7,2018-07-23
190,0.3,25,104,7,12,1,2018-07-23
191,0.0,35,98,3,5,0,2018-09-02
192,0.0,38,95,4,6,14,2018-07-24
193,0.0,43,93,4,6,18,2018-07-24
194,0.0,42,97,4,6,8,2018-07-25
195,0.0,48,94,6,7,2,2018-07-25
196,0.0,41,97,4,7,11,2018-07-25
197,0.0,36,100,6,9,4,2018-07-25
198,0.0,50,93,5,8,2,2018-08-01
199,0.0,56,93,4,5,0,2018-07-27
200,0.1,23,100,7,12,1,2018-07-26
201,0.0,27,90,5,8,0,2018-08-05
202,0.0,17,92,5,8,4,2018-08-04
203,0.0,33,91,5,7,4,2018-08-04
204,0.0,23,98,3,5,0,2018-08-03
205,0.0,45,93,5,8,0,2018-07-27
206,0.0,25,103,4,6,0,2018-07-27
207,0.0,45,93,5,8,0,2018-07-27
208,0.0,23,100,3,5,0,2018-07-27
209,0.0,23,91,6,9,1,2018-07-27
210,2.0,73,77,3,5,7,2018-07-15
211,0.0,32,86,4,7,4,2018-08-01
212,0.7,43,78,3,5,14,2018-07-31
213,0.0,45,95,5,6,0,2018-07-28
214,0.0,65,87,5,6,1,2018-07-28
215,0.0,29,106,4,7,5,2018-07-31
216,0.0,46,101,3,5,16,2018-07-28
217,0.0,43,91,4,6,14,2018-07-31
218,0.0,20,97,4,6,23,2018-07-29
219,0.0,55,79,5,8,0,2018-09-16
220,0.0,44,93,3,5,0,2018-08-06
221,0.0,28,95,3,5,3,2018-08-01
222,0.0,26,97,4,6,3,2018-08-01
223,0.0,35,96,5,8,3,2018-08-01
224,0.0,25,95,7,11,0,2018-08-06
225,0.0,54,90,3,4,0,2018-08-06
226,0.0,35,99,3,4,0,2018-08-06
227,0.0,26,94,4,6,0,2018-08-06
228,0.0,26,93,4,7,0,2018-08-07
229,0.0,25,95,7,11,0,2018-08-06
230,0.0,44,93,3,5,2,2018-08-16
231,0.0,22,100,4,6,0,2018-08-09
232,0.0,51,86,5,7,2,2018-08-22
233,3.3,50,92,4,6,9,2018-08-09
234,0.0,23,98,4,6,0,2018-08-09
235,0.0,52,92,3,5,0,2018-08-09
236,0.0,56,87,5,6,3,2018-08-17
237,0.0,37,92,4,6,14,2018-09-08
238,0.0,35,102,4,7,6,2018-08-10
239,0.0,42,87,9,14,3,2018-08-17
240,0.0,25,95,5,7,5,2018-08-12
241,0.0,65,82,4,5,4,2018-08-13
242,0.0,44,92,3,5,9,2018-08-11
243,0.1,40,84,5,7,3,2018-08-15
244,0.5,25,87,4,7,12,2018-08-15
245,0.0,65,77,5,6,4,2018-08-26
246,0.0,37,87,6,9,0,2018-08-18
247,0.0,36,93,3,4,0,2018-08-19
248,0.0,56,87,5,8,0,2018-08-19
249,0.0,58,88,4,4,4,2018-08-19
250,0.0,52,88,9,15,0,2018-08-23
251,0.0,46,86,4,6,5,2018-08-25
252,0.0,33,83,4,6,1,2018-08-27
253,0.0,46,89,3,5,5,2018-08-26
254,0.0,58,81,4,5,3,2018-08-27
255,0.0,36,93,5,7,0,2018-09-09
256,0.0,63,86,2,4,4,2018-08-30
257,0.0,53,77,3,5,3,2018-09-01
258,0.0,25,84,4,7,0,2018-09-02
259,0.0,33,89,5,7,3,2018-08-31
260,0.0,22,91,4,7,0,2018-09-05
261,0.0,41,98,3,5,0,2018-09-03
262,0.0,24,86,4,7,0,2018-09-03
263,0.0,22,92,4,7,0,2018-09-04
264,0.0,23,94,4,7,0,2018-09-04
265,0.0,28,93,5,8,6,2018-09-08
266,0.0,36,89,2,4,0,2018-09-04
267,0.2,38,72,3,5,15,2018-09-04
268,0.0,58,76,5,8,0,2018-09-13
269,0.0,76,71,6,10,4,2018-09-10
270,0.0,38,81,4,7,0,2018-09-12
271,0.0,18,89,4,6,0,2018-09-14
272,0.0,28,82,5,10,0,2018-09-20
273,0.0,43,89,5,6,2,2018-09-22
274,0.0,19,82,5,9,0,2018-09-22
275,0.0,28,74,6,8,17,2018-09-22
276,0.0,28,79,4,5,7,2018-09-28
277,0.0,24,91,3,5,10,2018-09-28
278,0.0,48,83,3,4,5,2018-09-23
279,0.0,26,86,4,8,0,2018-09-24
280,0.0,35,93,3,4,0,2018-09-26
281,0.0,77,69,5,7,43,2018-10-02
282,3.3,47,77,4,8,38,2018-10-02
283,0.0,33,77,9,15,3,2018-10-07
284,0.0,38,76,6,9,0,2018-10-07
285,0.0,63,62,3,5,12,2018-10-10
286,0.0,28,83,7,11,1,2018-10-12
287,0.0,40,80,4,6,1,2018-10-13
288,0.0,18,73,10,16,0,2018-10-14
289,0.0,18,73,10,16,0,2018-10-14
290,0.0,18,75,6,11,0,2018-10-15
291,0.0,34,86,5,9,0,2018-10-19
292,0.0,48,75,3,4,5,2018-10-24
293,0.0,28,76,8,13,2,2018-10-30
294,0.0,41,81,5,8,3,2018-11-03
295,0.0,27,69,4,7,0,2018-11-08
296,0.0,29,56,8,14,0,2018-11-08
297,0.0,36,73,6,10,6,2018-11-05
298,0.0,48,44,7,12,1,2018-11-08
299,0.0,16,70,11,18,0,2018-11-08
300,0.0,36,69,10,16,3,2018-11-08
301,0.1,36,70,10,16,3,2018-11-08
302,22.2,90,50,11,17,76,2018-11-29
303,0.0,25,68,2,3,3,2018-11-15
304,0.0,43,65,3,6,9,2018-11-12
305,0.0,11,70,8,11,16,2018-11-13
306,0.0,22,71,3,4,6,2018-11-14
307,0.0,38,70,5,8,48,2018-11-15
308,0.0,19,68,9,15,0,2018-11-12
309,0.0,31,68,2,3,4,2018-11-16
