,Precipitation(MM),Humidity,Temperature,Wind Speed,Wind Gust,Cloud Cover,Date
0,0.1,48,64,15,21,6,2018-04-12
1,0.0,58,68,5,9,0,2018-02-07
2,0.1,35,47,11,16,1,2018-02-18
3,0.0,67,74,5,7,8,2018-05-14
4,0.1,48,64,15,21,6,2018-04-12
5,0.0,58,68,5,9,0,2018-02-07
6,0.1,35,47,11,16,1,2018-02-18
7,0.0,67,74,5,7,8,2018-05-14
8,0.1,48,64,15,21,6,2018-04-12
9,0.0,58,68,5,9,0,2018-02-07
10,0.1,35,47,11,16,1,2018-02-18
11,0.0,67,74,5,7,8,2018-05-14
12,0.0,65,67,5,7,1,2018-05-17
13,0.0,16,78,8,12,40,2018-04-15
14,0.0,68,61,10,17,0,2018-03-27
15,0.0,71,54,6,9,7,2018-03-27
16,0.0,23,91,4,5,4,2018-04-09
17,0.0,30,87,10,17,4,2018-05-10
18,0.0,61,69,4,5,17,2018-05-09
19,0.0,37,82,5,7,12,2018-04-22
20,0.3,51,72,4,7,17,2018-04-26
21,0.0,67,68,9,14,1,2018-05-17
22,0.0,63,79,4,5,3,2018-05-09
23,0.0,61,78,6,10,0,2018-05-04
24,0.4,55,74,5,7,7,2018-05-02
25,0.0,42,85,4,6,0,2018-05-04
26,0.0,42,85,4,6,0,2018-05-04
27,0.0,32,50,9,11,20,2018-04-19
28,0.0,47,72,3,5,30,2018-04-24
29,0.0,67,69,5,6,1,2018-04-28
30,0.0,52,78,4,6,7,2018-05-18
31,0.0,52,82,2,3,8,2018-05-18
32,1.7,65,72,3,5,18,2018-05-19
33,0.0,60,74,10,14,41,2018-05-20
34,0.0,74,71,6,7,11,2018-05-21
35,0.0,78,67,5,6,35,2018-05-22
36,0.0,59,74,4,5,6,2018-05-23
37,0.1,81,60,6,8,47,2018-05-24
38,0.0,64,72,6,9,22,2018-05-26
39,0.0,61,77,4,5,3,2018-05-27
40,0.0,34,90,5,8,5,2018-05-28
41,0.0,31,91,8,12,0,2018-05-28
